,title,money,area,experience,company_name,company_industry,company_stage,company_scale,company_contact,job_description,team_description,detail_url,company_url
59,高级Python工程师,17-21K,广州 天河区 五山,3-5年,拼吧科技,企业服务,天使轮,0-20人,魏先生招聘者,岗位描述:1、总体技术框架的规划与设计，重构、优化现有的技术架构。2、负责微服务应用开发框架研究、开发、重构工作。3、把握系统总体架构，解决系统中关键问题和技术难题。4、分析系统瓶颈，处理、协调和解决基础框架中出现的技术问题；5、负责系统框架，核心模块开发实现。6、负责公司核心技术问题的攻关和人才培养要求如下:     1、精通Python、Java 2、熟悉常见Python web架构，精通Django、Tornado者优先； 3、具备数据库设计能力，熟练掌握MySql/MongoDB/Redis者优先； 4、熟悉Linux操作系统，熟悉Nginx、uWSGI，能独立搭建高可用生产环境； 5、有大型网络服务开发经验，在高并发，高稳定性方面有经验者优先； 6、具备良好的编码习惯及开发文档书写习惯； 7、具有优秀的团队合作和沟通协作能力，善于学习，乐于分享； 8、了解或熟悉HTML、CSS、Javascript等前端技术优先。,五险一金年终奖股票期权,https://www.zhipin.com/job_detail/964ff2803dbcd12d1Hd42NS5GFs~.html,https://www.zhipin.com/gongsi/c922c89f8e6f2cff1HZ83NS1.html
60,Python开发工程师,6-12K,广州 天河区 珠江新城,1-3年,美亚商旅集团,电子商务,A轮,500-999人,赖女士招聘主管,"岗位职责：1、参与产品需求的讨论，编写相应的设计文档。2、独立完成模块的开发工作，并保质代码的质量。3、对生产系统产生的需求和问题快速响应。任职要求：1.1年上服务端研发经验，至少1年Python程序开发经验，熟悉至少两种或以上服务端编程语言，熟练使用Python。2.有团队管理经验者优先考虑。3.熟悉Django、Flask、Tornado等主流web开发框架，有丰富的WebSocket编程经验。4.熟悉MySQL、PostgreSQL等主流开源关系数据库及Redis、activemq等常见缓存及消息队列中间件。5.对网络编程有深刻的理解，有高并发编程经验，熟练使用asyncio, gevent。6.了解现代前端研发生态，在前后端协作中能起协调指导作用。【美亚提供】1、薪酬：综合薪资6-12k（基本工资+岗位工资+绩效工资等），年终双薪；2、专业培训：多元化的培训课程，为每位新入职员工提供系统的技能培训、职业培训、户外拓展；3、福利待遇：五险一金/绩效奖金/全勤奖/年终奖/员工体检/企业文化活动/拓展培训/优秀团队活动经费/大型年会/员工旅游/节日礼物/下午茶等；4、假期：带薪年假（5-10天）、国家法定节假日、婚假、产假、丧假等；5、工作环境：珠江新城CBD中心。",五险一金补充医疗保险全勤奖带薪年假员工旅游节日福利,https://www.zhipin.com/job_detail/7e5762e19c0f784e1XB50ti5ElI~.html,https://www.zhipin.com/gongsi/92243b7f46eea4e01nJ939u-.html
61,Python 后台开发工程师,20-25K,广州 海珠区 赤岗,3-5年,小特叔叔,移动互联网,未融资,0-20人,罗先生招聘负责人,"岗位职责：* 负责公司云平台的后台研发、优化设计和构建，保证稳健的平台服务能力；* 负责数据库模型设计和维护;* 负责功能开发和代码维护，编写完整的接口文档;* 开发并提供高可用、高性能的 API 接口；* 熟悉 Linux  操作系统，了解常用开源软件，并有 Linux 系统下的开发经验；任职要求：* 熟悉数据库理论，熟练掌握MySQL、MongoDB、Redis等数据库的应用和优化;* 熟悉软件开发流程，具备独立开发调试，测试等实践能力;* 对代码和设计质量有严格要求，重视Code Review，知道良好的编程习惯的标准；* 有设计过高性能、高可用、可扩展的产品或者系统的经验;* 理解并能应用 RESTFul 规范;* 英文水平良好, 能阅读英语技术文档；* 有自己的技术博客或 GitHub 优先；* 了解分布式系统、微服务设计，有中大型运维平台、分布式系统开发经验者优先;* 有 LeanCloud 云服务集成开发经验优先；",五险一金带薪年假零食下午茶,https://www.zhipin.com/job_detail/a8af149bd5f7a6a003F-292_GFs~.html,https://www.zhipin.com/gongsi/21142b44d58b72b01nR_2t-1EQ~~.html
62,Python电商程序员,6-11K,广州 天河区 长兴,经验不限,古特贸易,电子商务,不需要融资,0-20人,张先生招聘者,"Python电商程序员工作内容以电商为主，1，熟练掌握网络爬虫技术，在电商平台采集数据，做成对应的Excel表格2，熟练掌握Python，掌握selenium和airtest技术或其他PC网页、手机app自动化技术，实现自动化操作3，实现其他可以用程序来提高人力效率的事情4，熟练掌握MySQL数据库操作，以上的流程和思路都由我们公司专业的外贸人员提供，程序员只需要按照这个思路操作即可要求1，掌握python，能立即操作数据采集和编写脚本2，有不断学习的能力做这份工作的前景和收获我认为，会写程序的人很多，这个不是很强的竞争力，但是会写程序加上会电商玩法，这个就可以发挥一加一大于二的作用。其他行业也一样，整合两个环境的资源可以发挥更大价值。我们公司很懂电商，之前都是外包出去，现在我们打算培养自己的IT团队。清在面试我们之前可以想清楚：第1个是愿不愿意将精力放在电商这一块，就是把技术用在电商这一块第2个，工作期间不一定完全让你用你熟悉的语言写程序，比如airtest你可能就不会用，我们愿意给你时间学习或者教你，或者给你平台自学并且执行。所以你加入我们的收货会是：1，懂得电商玩法，发挥你程序的作用2，程序发挥作用了，收益可以更高。广州古特贸易有限公司是一家专注在亚马逊和速卖通销售汽配的贸易公司，13年9月10日成立至今，主要专注电商平台运营。公司规模小而精，利润上愿意跟员工分享，接受并欢迎有想法但又不想辞职承担风险创业的员工自创小项目跟公司合伙。公司理念是，公司每个人都是做事的人，在自己岗位独当一面，不断要求自己进步，精益求精。待遇试用期间，基本工资4000（工作中贡献多，有奖金）试用期三个月转正后（即第四个月开始）公司买社保，公司出70%，个人出30%底薪为6000，有提成提成按照营业额以及开发产品的销售业绩算工作满6个月，公司买商业保险平时公司每日提供充足的水果和零食工作环境宽阔明亮干净，功能区多，有自由活动区，有公共冰箱，微波炉，休息区会议室等工作时间（这是业务员工作时间，程序员可以根据情况调整，很弹性）周一周五，9:30-12:30,14:00-18:30周六，9:30-12:00,2:00-17:00周一到周六期间可以申请一个上午在家办公，周日休息",unknown,https://www.zhipin.com/job_detail/f9049c43c94e6a5d1HF43t-5FlQ~.html,https://www.zhipin.com/gongsi/399e19b62e7312d01XN-09-9EQ~~.html
63,后端工程师（Python方向）,16-25K,广州 番禺区 大学城,3-5年,有米科技,移动互联网,已上市,500-999人,蔡先生CTO,岗位职责：1、负责公司数据产品的开发与迭代。2、参与系统设计规划，打造业内顶尖的营销大数据产品工具。任职要求：1、熟练使用PHP/Python/Golang/Java/C++等一种或者以上语言；2、熟悉Web编程、网络编程（TCP/HTTP协议），具有linux下编程经验和操作经验；3、熟悉MySQL数据库，能根据业务需求快速设计高效的数据库，数据库性能优化；4、了解HTTP协议和HTML/JAVASCRIPT/CSS等页面技术；5、熟悉MySQL数据库应用开发，了解MySQL性能优化等基本操作技能；6、熟悉常用数据结构和算法；7、对数据处理及分析方面有一定的经验。,unknown,https://www.zhipin.com/job_detail/6f7e46a5c50c53391XZy2Ny5FlI~.html,https://www.zhipin.com/gongsi/1bff6038f87ff7921X1z398~.html
64,Python,7-8K,广州 越秀区 五羊新城,1-3年,富融,计算机软件,未融资,20-99人,涂女士人力资源,"1.至少1年以上Python开发经验，精通Python服务端编程，精通网络编程2.使用Python开发过大型系统经验者优先；3.熟悉Django/Flask等web开发框架；4.熟练使用mysql，熟悉 Redis/MongoDB/Celery；5.精通Mysql数据库的配置和优化技术，熟悉各种WEB缓存技术，并有实际的项目经验,熟悉分布式数据存储，以及高流量访问、大用户量级平台的后台系统设计与开发6.对于目前主流数据工具Hadoop/Hive/Spark等工具有一定的了解；7.熟悉Windows/linux服务器操作系统和PC操作系统，有云服务器搭建和基本的虚拟服务器技术，有服务器集群搭建经验优先",五险一金,https://www.zhipin.com/job_detail/57a6c2fec5a33e461Xx-29S9Els~.html,https://www.zhipin.com/gongsi/2da7964d5d520b891nV92dy1FA~~.html
65,python开发工程师（运维）,15-30K,广州 天河区 员村,1-3年,云鲸智能,智能硬件,A轮,100-499人,吴先生招聘者,"工作职责1.  负责部署相关应用平台2.  搭建和维护各种自有和第三方系统3.  负责Mysql数据库的日常监控、日志审计和和安全备份等管理4.  负责建立日常运维管理制度，编写运维相关文档5.  监控业务的运行状态，及时处理项目运行中出现的故障，保障项目服务24x7稳定运行6.  搭建和维护数据库集群7.  构建基于ElasticSearch（ES）的实时数据分析平台8.  ELK集群的配置管理及优化任职要求1.  熟悉Linux操作系统、TCP/IP  2.  熟悉MySQL、MongoDB数据库3.  熟悉redis,  RabbitMQ等中间件的使用4.  掌握Docker、Zabbix或Open-falcon、jenkins等5.  掌握分布式系统原理，对存储、队列一定的理解和认识6.  有ELK分布式日志系统搭建及相关经验者优先7.  熟悉Python语言特性，熟悉django、sqlalchemy、celery的使用优先条件1.  熟悉ELK集群的搭建2.  有大型上线项目，有带小团队的经验",五险一金定期体检年终奖股票期权零食下午茶,https://www.zhipin.com/job_detail/da25db4cebb3907d1HB82t-8GVM~.html,https://www.zhipin.com/gongsi/5d48dd36f6d361f90X140ti5.html
66,python网页后端,8-12K,广州 天河区 珠江新城,1-3年,大世科技,互联网,未融资,20-99人,谢女士HR,岗位职责：1、参与web后台开发及维护2、协助完成项目测试、部署工作。职位要求：1、熟练使用python，具有一年以上web开发经验；2、熟练使用Django等web开发框架；3、熟练使用linux、mysql，熟悉postgresql、redis、mongodb的优先考虑；4、能迅速融入团队，适应团队开发计划流程；5、有责任心，学习能力强，积极进取，工作严谨。,五险一金带薪年假员工旅游餐补包吃节日福利零食下午茶,https://www.zhipin.com/job_detail/e1aa79f0a314c8631nN_3tu8EFQ~.html,https://www.zhipin.com/gongsi/e535217fd1d2dfa81Xx62928.html
67,Python开发,12-20K,广州 天河区 冼村,3-5年,大世科技,互联网,未融资,20-99人,谢女士HR,岗位要求：1、熟练使用python，具有一年以上web开发经验；2、熟练使用Django等web开发框架；3、熟练使用linux、mysql，熟悉postgresql、redis、mongodb的优先考虑；4、能迅速融入团队，适应团队开发计划流程；5、有责任心，学习能力强，积极进取，工作严谨。岗位职责：1、参与web后台开发及维护；2、协助完成项目测试、部署工作。,五险一金带薪年假员工旅游餐补包吃节日福利零食下午茶,https://www.zhipin.com/job_detail/f87881dc2f8e2b2d03B50ty7F1U~.html,https://www.zhipin.com/gongsi/e535217fd1d2dfa81Xx62928.html
68,python运维开发工程师,10-18K,广州 天河区 员村,3-5年,智建云,移动互联网,A轮,20-99人,运维研发,岗位职责:1. 负责公司业务生产系统、网络、数据库、应用的日常搭建、维护及管理等。2. 负责应用系统的性能分析与架构优化，挖掘问题隐患、配合制作相关预案。3. 负责配合开发搭建测试平台，协助开发设计、推行、实施和持续改进。4. 负责相关故障、疑难问题排查处理，编制汇总故障、问题，定期提交汇总报告。5. 负责日常系统可用性、性能等监控，提供IT软硬件方面的服务和支持，保证系统的稳定。任职资格:1. 2年以上相关工作经验，本科以上学历，计算机或相关专业优先。2. 熟悉Shell，Python。3. 熟悉Linux操作系统，了解基本网络原理，熟悉TCP/IP、HTTP等协议。4. 熟悉Nginx、HAProxy、JVM、MySQL、Redis等常用软件的安装，管理，及调优。5. 熟悉至少一种配置管理工具，如Fabric/Ansible/Saltstack，有海量服务器管理经验者优先。6. 熟悉Zabbix、Nagios、Cacti等常用运维监控软件的安装、配置及管理者优先。7. 有Hadoop、Spark、Kafka、Docker运维经验优先。8. 责任心强，积极主动，热爱学习，有良好的沟通能力和团队合作能力。,unknown,https://www.zhipin.com/job_detail/6085338bb499a5821nN72Ni4EFM~.html,https://www.zhipin.com/gongsi/98523cc5d876d33d3nBz29u6.html
